Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Max_Count,Count 4,Won 4,Prob Won 4,Count 5,Won 5,Prob Won 5,Count 6,Won 6,Prob Won 6
19790114-M-Masters-F-Arthur_Ashe-John_Mcenroe,Arthur Ashe,John Mcenroe,R,L,19790114,Masters,3,Deuce,Hard,4,21,18,0.857142857,2,0,0,17,10,0.588235294
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,Corrado Barazzutti,Adriano Panatta,R,R,19790922,Palermo,3,Deuce,Clay,5,11,9,0.818181818,14,9,0.642857143,1,0,0
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,Bjorn Borg,R,R,19800113,Tour Finals,3,Deuce,Carpet,6,15,4,0.266666667,,,,17,7,0.411764706
19800606-M-Roland_Garros-SF-Bjorn_Borg-Harold_Solomon,Bjorn Borg,Harold Solomon,R,R,19800606,Roland Garros,5,Deuce,Clay,4,16,12,0.75,5,3,0.6,15,9,0.6
19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,Bjorn Borg,R,R,19800608,Roland Garros,5,Deuce,Clay,6,19,9,0.473684211,1,0,0,23,11,0.47826087
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Bjorn Borg,L,R,19800705,Wimbledon,5,Deuce,Grass,6,33,22,0.666666667,24,20,0.833333333,36,22,0.611111111
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Bjorn Borg,R,R,19800705,Wimbledon,5,Deuce,Grass,6,20,12,0.6,1,0,0,25,11,0.44
19800906-M-US_Open-SF-Johan_Kriek-Bjorn_Borg,Johan Kriek,Bjorn Borg,R,R,19800906,US Open,5,Deuce,Hard,4,25,11,0.44,,,,21,6,0.285714286
19800906-M-US_Open-SF-John_Mcenroe-Jimmy_Connors,John Mcenroe,Jimmy Connors,L,L,19800906,US Open,5,Deuce,Hard,4,44,27,0.613636364,11,8,0.727272727,26,14,0.538461538
19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Bjorn Borg,L,R,19800907,US Open,5,Deuce,Hard,6,30,18,0.6,16,12,0.75,34,25,0.735294118
19810104-M-Australian_Open-F-Kim_Warwick-Brian_Teacher,Kim Warwick,Brian Teacher,R,R,19810104,Australian Open,5,Deuce,Grass,5,13,8,0.615384615,29,18,0.620689655,10,6,0.6
19810118-M-Masters-F-Ivan_Lendl-Bjorn_Borg,Ivan Lendl,Bjorn Borg,R,R,19810118,Masters,5,Deuce,Carpet,4,19,12,0.631578947,2,1,0.5,18,12,0.666666667
19810118-M-Tour_Finals-F-Ivan_Lendl-Bjorn_Borg,Ivan Lendl,Bjorn Borg,R,R,19810118,Tour Finals,5,Deuce,Carpet,4,19,12,0.631578947,2,1,0.5,18,12,0.666666667
19810605-M-Roland_Garros-SF-Jose_Luis_Clerc-Ivan_Lendl,Jose Luis Clerc,Ivan Lendl,R,R,19810605,Roland Garros,5,Deuce,Clay,4,41,30,0.731707317,11,6,0.545454545,29,20,0.689655172
19810605-M-Roland_Garros-SF-Victor_Pecci-Bjorn_Borg,Victor Pecci,Bjorn Borg,R,R,19810605,Roland Garros,5,Deuce,Clay,6,15,9,0.6,3,1,0.333333333,29,17,0.586206897
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Ivan Lendl,R,R,19810607,Roland Garros,5,Deuce,Clay,4,24,13,0.541666667,,,,15,11,0.733333333
19810703-M-Wimbledon-SF-Bjorn_Borg-Jimmy_Connors,Bjorn Borg,Jimmy Connors,R,L,19810703,Wimbledon,5,Deuce,Grass,4,43,28,0.651162791,1,0,0,20,13,0.65
19810703-M-Wimbledon-SF-John_Mcenroe-Rod_Frawley,John Mcenroe,Rod Frawley,L,R,19810703,Wimbledon,5,Deuce,Grass,6,23,14,0.608695652,5,4,0.8,27,18,0.666666667
